LINHA;NOME DA ESTAÇÃO;SIGLA DA ESTAÇÃO;DESCRIÇÃO DO PRODUTO;GRUPO v1;GRUPO;LOCALIZACAO;Codigo;Codigov2;;PAINEL
2;ESTACAO BRIGADEIRO            ;BGD;CLÁSSICO MEZANINO LIVRE;CLÁSSICO;PAINEL CLÁSSICO;MEZANINO LIVRE;BGD-MLC-5;BGD-MLC-5;;
2;ESTACAO BRIGADEIRO            ;BGD;CLÁSSICO MEZANINO;CLÁSSICO;PAINEL CLÁSSICO;MEZANINO;BGD-MPP-1;BGD-MPP-1;;
2;ESTACAO BRIGADEIRO            ;BGD;SUPER ACESSO;SUPER;PAINEL SUPER;ACESSO;BGD-AS -2;BGD-AS-2;;
2;ESTACAO BRIGADEIRO            ;BGD;CLÁSSICO MEZANINO;CLÁSSICO;PAINEL CLÁSSICO;MEZANINO;BGD-MPP-2;BGD-MPP-2;;
2;ESTACAO BRIGADEIRO            ;BGD;SUPER MEZANINO PAGO;SUPER;PAINEL SUPER;MEZANINO PAGO;BGD-MPS-5;BGD-MPS-5;;
2;ESTACAO BRIGADEIRO            ;BGD;SUPER MEZANINO PAGO;SUPER;PAINEL SUPER;MEZANINO PAGO;BGD-MPS-18;BGD-MPS-18;;
3;ESTACAO BRIGADEIRO            ;BGD;SUPER MEZANINO PAGO;SUPER;PAINEL SUPER;MEZANINO PAGO;BGD-MPS-2;BGD-MPS-2;;
2;ESTACAO BRIGADEIRO            ;BGD;SUPER MEZANINO LIVRE;SUPER;PAINEL SUPER;MEZANINO LIVRE;BGD-MLS-23;BGD-MLS-23;;
2;ESTACAO BRIGADEIRO            ;BGD;SUPER ACESSO;SUPER;PAINEL SUPER;ACESSO;BGD-AS -3;BGD-AS-3;;
2;ESTACAO BRIGADEIRO            ;BGD;SUPER MEZANINO PAGO;SUPER;PAINEL SUPER;MEZANINO PAGO;BGD-MPS-20;BGD-MPS-20;;
2;ESTACAO BRIGADEIRO            ;BGD;SUPER MEZANINO PAGO;SUPER;PAINEL SUPER;MEZANINO PAGO;BGD-MPS-3;BGD-MPS-3;;
2;ESTACAO BRIGADEIRO            ;BGD;CLÁSSICO MEZANINO LIVRE;CLÁSSICO;PAINEL CLÁSSICO;MEZANINO LIVRE;BGD-MLC-1;BGD-MLC-1;;
2;ESTACAO BRIGADEIRO            ;BGD;CLÁSSICO MEZANINO LIVRE;CLÁSSICO;PAINEL CLÁSSICO;MEZANINO LIVRE;BGD-MLC-4;BGD-MLC-4;;
2;ESTACAO BRIGADEIRO            ;BGD;SUPER ACESSO;SUPER;PAINEL SUPER;ACESSO;BGD-AS -4;BGD-AS-4;;
2;ESTACAO BRIGADEIRO            ;BGD;SUPER MEZANINO LIVRE;SUPER;PAINEL SUPER;MEZANINO LIVRE;BGD-MLS-9;BGD-MLS-9;;
